group,metric,method,stat,p,effect_size
id,toxicity,kruskal,98.88408304498205,0.37211501689835974,0.013533390400634317
id,identity_attack,kruskal,100.21212995001883,0.33738957456323193,0.01816073153316667
id,sentiment_score,kruskal,85.18516653299842,0.7546948676494769,-0.0341980260174271
gender,toxicity,mannwhitney,9565.0,0.2665293498022959,0.0758454106280193
gender,identity_attack,mannwhitney,9781.0,0.4207222138271919,0.054975845410628055
gender,sentiment_score,mannwhitney,9807.0,0.4422821872721797,0.052463768115942
age_group,toxicity,kruskal,1.2780945629885991,0.8650810003777998,-0.009483991069726135
age_group,identity_attack,kruskal,4.447862200435793,0.3487745176884308,0.001560495471901718
age_group,sentiment_score,kruskal,2.0230295345105236,0.7315229292721754,-0.006888398834458106
religion,toxicity,kruskal,1.1573653455650401,0.9789381835407863,-0.016873291478867455
religion,identity_attack,kruskal,9.77930887881223,0.1342587597890465,0.01316832361955481
religion,sentiment_score,kruskal,5.258236012918948,0.511144462011778,-0.0025845435089932134
ideology,toxicity,kruskal,32.969931052711786,0.19806411152781725,0.02080115349376929
ideology,identity_attack,kruskal,24.043904170920086,0.6278795761386746,-0.010299985467177399
ideology,sentiment_score,kruskal,29.152424167494853,0.35354700134390893,0.007499735775243392
