group1,group2,p-adj,reject,metric,grouping,meandiff
30_49,18_29,1.0,False,toxicity,age_group,0.0003522344486555105
50_64,18_29,1.0,False,toxicity,age_group,-0.00027917608773957267
65_plus,18_29,1.0,False,toxicity,age_group,-0.0002081977413492547
under_18,18_29,0.26912785367832515,False,toxicity,age_group,0.0001038705289829546
18_29,30_49,1.0,False,toxicity,age_group,-0.0003522344486555105
50_64,30_49,0.12604880198852658,False,toxicity,age_group,-0.0006314105363950832
65_plus,30_49,1.0,False,toxicity,age_group,-0.0005604321900047652
under_18,30_49,1.0,False,toxicity,age_group,-0.0002483639196725559
18_29,50_64,1.0,False,toxicity,age_group,0.00027917608773957267
30_49,50_64,0.12604880198852658,False,toxicity,age_group,0.0006314105363950832
65_plus,50_64,0.924457339568014,False,toxicity,age_group,7.097834639031798e-05
under_18,50_64,0.0034979318116626816,True,toxicity,age_group,0.00038304661672252727
18_29,65_plus,1.0,False,toxicity,age_group,0.0002081977413492547
30_49,65_plus,1.0,False,toxicity,age_group,0.0005604321900047652
50_64,65_plus,0.924457339568014,False,toxicity,age_group,-7.097834639031798e-05
under_18,65_plus,0.26557886991953045,False,toxicity,age_group,0.0003120682703322093
18_29,under_18,0.26912785367832515,False,toxicity,age_group,-0.0001038705289829546
30_49,under_18,1.0,False,toxicity,age_group,0.0002483639196725559
50_64,under_18,0.0034979318116626816,True,toxicity,age_group,-0.00038304661672252727
65_plus,under_18,0.26557886991953045,False,toxicity,age_group,-0.0003120682703322093
30_49,18_29,1.0,False,sentiment_score,age_group,-0.04557805135846138
50_64,18_29,1.0,False,sentiment_score,age_group,-0.012863260813248512
65_plus,18_29,1.0,False,sentiment_score,age_group,-0.016919814488467133
under_18,18_29,0.13903765589385522,False,sentiment_score,age_group,-0.09387300213178007
18_29,30_49,1.0,False,sentiment_score,age_group,0.04557805135846138
50_64,30_49,0.6617371695990821,False,sentiment_score,age_group,0.03271479054521287
65_plus,30_49,0.710326126689468,False,sentiment_score,age_group,0.028658236869994247
under_18,30_49,1.0,False,sentiment_score,age_group,-0.04829495077331869
18_29,50_64,1.0,False,sentiment_score,age_group,0.012863260813248512
30_49,50_64,0.6617371695990821,False,sentiment_score,age_group,-0.03271479054521287
65_plus,50_64,1.0,False,sentiment_score,age_group,-0.0040565536752186215
under_18,50_64,0.022930585046479195,True,sentiment_score,age_group,-0.08100974131853156
18_29,65_plus,1.0,False,sentiment_score,age_group,0.016919814488467133
30_49,65_plus,0.710326126689468,False,sentiment_score,age_group,-0.028658236869994247
50_64,65_plus,1.0,False,sentiment_score,age_group,0.0040565536752186215
under_18,65_plus,0.021057602034907277,True,sentiment_score,age_group,-0.07695318764331294
18_29,under_18,0.13903765589385522,False,sentiment_score,age_group,0.09387300213178007
30_49,under_18,1.0,False,sentiment_score,age_group,0.04829495077331869
50_64,under_18,0.022930585046479195,True,sentiment_score,age_group,0.08100974131853156
65_plus,under_18,0.021057602034907277,True,sentiment_score,age_group,0.07695318764331294
