group,metric,method,stat,p,effect_size
id,toxicity,kruskal,56.12759067357467,0.7177079174535835,-0.03598120066191271
id,identity_attack,kruskal,50.586668531681696,0.8702813711570815,-0.06499126423203301
id,sentiment_score,kruskal,62.58916234887704,0.4909096394007478,-0.00215098246661236
gender,toxicity,mannwhitney,4486.0,0.832636776637343,0.01784345922276953
gender,identity_attack,mannwhitney,3844.0,0.059263074677351736,0.15840175150519975
gender,sentiment_score,mannwhitney,4486.0,0.832636776637343,0.01784345922276953
age_group,toxicity,kruskal,5.240325679270313,0.2635153043969378,0.006493851723928342
age_group,identity_attack,kruskal,1.8008621599889016,0.7723246120934685,-0.011513810680686378
age_group,sentiment_score,kruskal,3.71188722437455,0.44639935556773125,-0.0015084438514421468
religion,toxicity,kruskal,3.5723700926664606,0.46695996496950565,-0.0022389000383954945
religion,identity_attack,kruskal,0.9865312711944939,0.9118313655762389,-0.015777323187463384
religion,sentiment_score,kruskal,0.6930874546078485,0.95217863520402,-0.01731367824812645
ideology,toxicity,kruskal,18.191225040147856,0.6368729002152006,-0.014705628062053111
ideology,identity_attack,kruskal,17.303653524871432,0.6925429221070606,-0.019352599346222868
ideology,sentiment_score,kruskal,18.377812244341385,0.6249858688020044,-0.013728731705018928
