group1,group2,meandiff,p-adj,lower,upper,reject,metric,grouping
18_29,30_49,0.0019,1.0,-0.0809,0.0848,False,sentiment_score,age_group
18_29,50_64,0.0153,0.9883,-0.0707,0.1012,False,sentiment_score,age_group
18_29,65_plus,0.0005,1.0,-0.0816,0.0825,False,sentiment_score,age_group
18_29,under_18,-0.0716,0.1947,-0.1623,0.0192,False,sentiment_score,age_group
30_49,50_64,0.0134,0.9858,-0.0581,0.0848,False,sentiment_score,age_group
30_49,65_plus,-0.0015,1.0,-0.0681,0.0652,False,sentiment_score,age_group
30_49,under_18,-0.0735,0.0699,-0.1506,0.0036,False,sentiment_score,age_group
50_64,65_plus,-0.0148,0.978,-0.0853,0.0557,False,sentiment_score,age_group
50_64,under_18,-0.0868,0.0273,-0.1673,-0.0064,True,sentiment_score,age_group
65_plus,under_18,-0.072,0.074,-0.1483,0.0042,False,sentiment_score,age_group
