group,metric,F,p
id,toxicity,1.119203223338319,0.29324966759285986
id,identity_attack,1.0150280655490647,0.4628990735796654
id,sentiment_score,1.1461832116098751,0.2563892603226085
gender,toxicity,0.575819825140314,0.4488958179905531
gender,identity_attack,0.05694924203769661,0.8116416253995615
gender,sentiment_score,0.11039346883523396,0.7400628814946663
age_group,toxicity,0.7814465627701318,0.538528817708483
age_group,identity_attack,1.0478384433248236,0.3838584210911512
age_group,sentiment_score,1.138308916070291,0.3398724253873991
religion,toxicity,1.6281087473411073,0.16889071437374203
religion,identity_attack,0.6162941910522022,0.6514319787614511
religion,sentiment_score,0.7153460487476838,0.5824040586228134
ideology,toxicity,0.5417865607097462,0.9493492304108387
ideology,identity_attack,1.1267925298792634,0.3247976205164097
ideology,sentiment_score,1.0340663085526995,0.4255485319549
