group1,group2,p-adj,reject,metric,grouping,meandiff
30_49,18_29,0.9815339128779338,False,identity_attack,age_group,0.002746910408463107
50_64,18_29,0.018966761940140214,True,identity_attack,age_group,-0.0028120487760079577
65_plus,18_29,0.9621298015004907,False,identity_attack,age_group,0.0034495105615814023
under_18,18_29,1.0,False,identity_attack,age_group,0.003654995825714793
50_64,30_49,0.7282812768626744,False,identity_attack,age_group,-0.005558959184471065
65_plus,30_49,1.0,False,identity_attack,age_group,0.0007026001531182952
under_18,30_49,1.0,False,identity_attack,age_group,0.0009080854172516858
65_plus,50_64,1.0,False,identity_attack,age_group,0.00626155933758936
under_18,50_64,0.4999063272522618,False,identity_attack,age_group,0.0064670446017227505
under_18,65_plus,1.0,False,identity_attack,age_group,0.00020548526413339055
