group,metric,method,stat,p,effect_size
id,toxicity,kruskal,31.32216494845369,0.45006554800633447,0.0033912099837230497
id,identity_attack,kruskal,31.826460481099787,0.42518315661216316,0.008699584011576701
id,sentiment_score,kruskal,36.66752577319596,0.2225384399548316,0.059658166033641706
gender,toxicity,mannwhitney,1272.0,0.23263856441925368,-0.1443994601889338
gender,identity_attack,mannwhitney,1301.0,0.15856104616257838,-0.17049032838506517
gender,sentiment_score,mannwhitney,804.0,0.02200972859084077,0.27665317139001344
age_group,toxicity,kruskal,2.6566043814432305,0.6168293569660988,-0.014141006511123889
age_group,identity_attack,kruskal,3.1553049828178246,0.5321800570907829,-0.008891526496654478
age_group,sentiment_score,kruskal,1.668119988545243,0.7965001918864225,-0.024546105383734286
religion,toxicity,kruskal,5.5596052882779645,0.23453959742028593,0.016416897771346996
religion,identity_attack,kruskal,7.330975563192055,0.1193976940777647,0.03506290066517953
religion,sentiment_score,kruskal,1.6172036082474506,0.8056968359610894,-0.025082067281605783
ideology,toxicity,kruskal,17.942679696449034,0.11744207950048255,0.06255452312051614
ideology,identity_attack,kruskal,14.972336769759465,0.24295276680132372,0.03128775547115227
ideology,sentiment_score,kruskal,11.840360108820164,0.45858430929267224,-0.0016804199071561686
