group,metric,method,stat,p,effect_size
id,toxicity,kruskal,10.921768707482954,0.7581200829892449,-0.08677087856419247
id,identity_attack,kruskal,11.867346938775484,0.6890408834374646,-0.06665219279201098
id,sentiment_score,kruskal,17.190476190476147,0.3076058558174468,0.046605876393109515
gender,toxicity,mannwhitney,256.0,0.7737337476649959,0.051851851851851816
gender,identity_attack,mannwhitney,252.0,0.7093881150142263,0.06666666666666665
gender,sentiment_score,mannwhitney,326.0,0.237236792516072,-0.20740740740740748
age_group,toxicity,kruskal,2.23708292840945,0.6922462037493694,-0.03750887386362873
age_group,identity_attack,kruskal,1.69286524133463,0.792013250942848,-0.0490879735886249
age_group,sentiment_score,kruskal,6.354794298671862,0.17417255281792168,0.05010200635472048
religion,toxicity,kruskal,4.760856009070295,0.3127266869636263,0.016188425724899896
religion,identity_attack,kruskal,5.4214852607709645,0.24671767707427106,0.030244367250446054
religion,sentiment_score,kruskal,9.247505668934224,0.05520213608384351,0.11164905678583455
ideology,toxicity,kruskal,5.850198412698404,0.6640075030395132,-0.04574045930428927
ideology,identity_attack,kruskal,5.807256235827623,0.6688119017750346,-0.046654122641965466
ideology,sentiment_score,kruskal,9.344529478458014,0.31407052865555757,0.02860701017995775
