group,metric,method,stat,p,effect_size
id,toxicity,kruskal,77.11534025374738,0.9098815160737553,-0.06231588761760496
id,identity_attack,kruskal,81.22568242983402,0.8421029699516243,-0.04799413787514278
id,sentiment_score,kruskal,112.38898500576647,0.1075709159648567,0.0605887979294999
gender,toxicity,mannwhitney,11059.0,0.3156430698476669,-0.0685024154589371
gender,identity_attack,mannwhitney,10263.0,0.902494881840382,0.008405797101449286
gender,sentiment_score,mannwhitney,10674.0,0.6468271548218572,-0.03130434782608704
age_group,toxicity,kruskal,6.772760076252666,0.1483952816026479,0.009661184934678279
age_group,identity_attack,kruskal,2.7190546165676324,0.6058844410655373,-0.00446322433251696
age_group,sentiment_score,kruskal,5.215299558108882,0.2659110965783928,0.004234493233828856
religion,toxicity,kruskal,5.544556412326415,0.47608789951846964,-0.0015869114553086591
religion,identity_attack,kruskal,2.409102451111721,0.8784986266703779,-0.01251183814943651
religion,sentiment_score,kruskal,1.936734335975757,0.9254241463984619,-0.014157720083708164
ideology,toxicity,kruskal,18.59166709201122,0.8843979672322666,-0.029297327205535816
ideology,identity_attack,kruskal,16.05346515431711,0.9519205675164059,-0.038141236396107635
ideology,sentiment_score,kruskal,31.57009321956184,0.24838029501824452,0.015923669754570872
